t,Market Portfolio,Manager A,Manager B,Manager C
72,-0.129162239,-0.213555718,0.241089638,-0.110069005
73,0.113475852,-0.172233426,0.006468318,-0.325737507
74,0.056437828,-0.264109311,0.099029051,-0.036227566
75,0.233800247,0.51276342,0.015125797,0.182190075
76,0.067043033,0.301678294,0.50106287,0.364656944
77,0.00508762,0.124858263,-0.034278197,0.093426887
78,0.13969126,0.551587898,0.150781038,0.072632011
79,-0.062919064,-0.152916808,-0.293073603,-0.359138604
80,0.048990635,0.191151593,0.108739709,-0.004667697
81,0.049739631,0.129130385,-0.064425393,0.303233828
82,-0.098697106,-0.462785281,-0.117011623,0.333564795
83,0.138614294,0.103996116,0.148689502,0.304439589
84,0.044791575,0.01424348,-0.06542935,-0.06307383
85,-0.050965513,-0.047186161,-0.044431719,-0.099815071
86,0.081252577,0.588799735,0.048337844,0.48046304
87,0.097570334,0.403235315,0.110699178,-0.337662681
88,-0.190178059,-0.184379247,-0.089197701,0.046769665
89,0.13209775,0.550631234,0.260668406,0.195534658
90,0.039588005,-0.019417955,0.115376064,0.269889902
91,0.08748367,-0.24132189,-0.051694068,0.520778646
92,0.19631863,0.139311903,-0.039182405,-0.121049309
93,0.121275297,-0.08962942,0.182033966,0.369662138
94,0.143841536,-0.198714357,-0.071590537,0.26850067
95,0.168070555,-0.050049937,-0.310044077,0.057900642
96,-0.090054444,-0.321383003,-0.08777434,-0.059736552
97,-0.04829358,-0.100371042,0.146616053,0.035119881
98,-0.072937096,-0.083903087,-0.012912312,0.181922061
99,0.104443257,0.598232989,0.169255149,0.266288143
100,0.021157449,-0.067651591,0.032800958,-0.147506102
101,0.092461742,0.195946801,-0.015376232,-0.081213135
102,0.000761162,0.143413824,0.439440458,0.487616329
103,0.18585125,0.589133525,0.049924188,-0.177907003
104,0.107000597,0.074375626,0.235750687,0.158931794
105,0.164931997,-0.010800493,-0.133334733,-0.211480056
106,-0.025585536,-0.029918484,-0.051000632,0.472399197
107,0.137940327,0.070609092,0.046192723,0.271635553
108,0.138516541,0.399528816,-0.166045197,0.219337618
109,0.13970086,-0.154289292,0.005422482,-0.221475497
110,0.090358005,0.345063428,-0.125835597,-0.262978606
111,0.01000212,-0.05811788,-0.281347661,-0.459208324
112,0.137177291,0.187740123,0.240764621,0.076807037
113,-0.091434822,-0.032268476,-0.081664553,-0.188429103
114,0.006087404,0.273108838,-0.182671715,-0.221163083
115,0.201061347,0.718842985,0.391310883,0.443563234
116,0.041289625,-0.225180123,-0.380769823,-0.281208401
117,0.03572969,0.148197575,-0.345120445,0.04375094
118,0.080742981,-0.296211087,-0.199429897,-0.368756638
119,-0.03524273,-0.08793069,0.071352691,-0.227442016
120,0.001760678,0.002788683,0.032857307,0.305707573
121,-0.049322687,-0.38225758,-0.192639594,-0.248385609
122,-0.041574632,-0.095379613,0.062867651,0.025827637
123,-0.050814823,0.404290957,-0.005592227,-0.111873366
124,-0.156044545,-0.545005263,0.039668041,0.023041912
125,0.138623045,0.380131337,0.095987311,-0.016049202
126,-0.063089989,-0.09564402,0.046504211,-0.232077865
127,0.022883662,0.616079488,0.304402929,0.164887125
128,0.153247663,0.396479741,0.424256176,0.748136137
129,-0.115528775,-0.024064859,-0.535213043,-0.197879118
130,-0.024592598,-0.32989208,-0.111887552,0.204314249
131,0.105101093,0.25478743,-0.081613354,-0.218952485
132,-0.065352048,0.235069444,0.210598313,0.260592369
133,0.048555547,-0.034070352,0.102080655,-0.314729767
134,-0.010898271,-0.022626825,0.088829088,-0.269144644
135,-0.094543733,-0.334401318,-0.303095967,0.193595194
136,-0.011539814,-0.427849981,-0.090022929,-0.073305388
137,0.067287307,0.138648719,0.13451952,-0.291510495
138,0.142408716,0.318426792,0.031848002,0.349640477
139,0.065234976,-0.048657844,0.046168529,-0.383237329
140,0.102695468,0.376994,0.157093174,0.196096
141,0.099765124,0.192237421,0.26667792,-0.084331971
142,0.020684784,-0.14774083,0.058608392,-0.32840707
143,0.121237978,0.190575793,-0.176444597,0.280699649
144,0.083718367,0.165281152,-0.072765489,-0.0653374
145,0.110175599,-0.417340575,-0.207428006,-0.776761455
146,0.197243272,0.598409576,0.337902912,0.510030469
147,0.097822915,-0.001092969,0.328633955,0.221236113
148,0.067260999,0.604549174,0.293905351,-0.196058658
149,-0.148532893,-0.422005835,-0.08650419,-0.406423988
150,0.006014371,-0.113381838,-0.012409915,-0.470814403
151,0.265280971,0.524941965,0.080900517,0.374359175
152,-0.043481471,-0.231932551,-0.485830459,-0.347315797
153,0.060755426,-0.148819985,-0.005231385,0.035864551
154,0.055020076,0.429572883,-0.076913016,-0.282959769
155,0.088173947,0.294477454,0.097221318,-0.163735371
156,0.117378834,0.379011695,0.099698272,-0.012884205
157,0.058847578,-0.132531804,0.081726074,-0.074939392
158,-0.149669615,0.067101196,-0.084261125,-0.056277231
159,0.160088217,0.266023398,0.014603557,-0.004527949
160,-0.099347734,-0.921031768,-0.032591781,0.112743536
161,0.113371603,0.494345521,0.22874919,0.002043338
162,-0.058568058,-0.297715502,0.154529816,0.23622048
163,0.114171464,0.087798081,0.021354247,-0.293392593
164,0.023819177,-0.064559601,0.049914971,0.067939074
165,-0.1695531,-0.060109251,0.118512149,0.135019955
166,0.05909273,-0.115350557,-0.000701209,-0.044120652
167,0.019862955,0.206027161,0.257751393,0.294766304
168,0.222200036,0.395071881,0.04268685,0.310126948
169,0.081825988,-0.044223707,-0.355637645,0.050242568
170,0.19132269,-0.260025365,-0.221519857,0.333348529
171,0.206681049,0.23794674,0.121031425,0.394432109
172,-0.017701451,0.111906686,0.149127861,0.541659357
173,0.029316784,-0.300198761,-0.211343488,-0.498525455
174,-0.037133588,-0.070714328,-0.032518313,-0.199197028
175,0.02689645,0.136691506,0.176939961,0.205399648
176,0.159296892,0.12805625,0.027565396,0.124382664
177,-0.085212556,-0.413359409,-0.127381645,-0.036915515
178,0.083813727,0.325640098,0.030613653,0.001757122
179,0.009852736,-0.157873523,0.157490856,0.537513032
180,-0.004467892,-0.010909327,0.114156487,0.463536165
181,0.178356964,-0.217787396,0.199009682,0.036846225
182,0.183461789,0.104314239,0.230903179,0.529075507
183,0.009952677,0.179573488,-0.12249982,0.249200248
184,-0.024225726,-0.050597057,-0.537160297,-0.031134057
185,0.049762212,-0.349629528,-0.278362119,-0.283755449
186,-0.048606044,0.126133984,0.120620644,0.094585169
187,0.147783478,0.332023082,-0.002258324,-0.063601447
188,-0.102731282,-0.260184408,-0.2487769,0.112213517
189,0.085233089,0.236510935,-0.210156125,-0.090941935
190,0.021997264,0.297368679,0.043455501,0.228210543
191,0.249612262,0.562906677,0.437271607,-0.32235275
192,-0.185108596,-0.423029226,-0.136349109,-0.462640331
193,-0.104405903,0.143253084,0.140364916,0.009896347
194,0.144784688,-0.163474186,-0.430858314,-0.245905731
195,-0.09738245,0.355202667,0.364714948,0.412948987
196,0.113734885,0.662915993,-0.139437489,0.228949965
197,-0.043805939,-0.193114525,-0.278634602,-0.016136986
198,0.139141686,0.21429484,0.080894182,0.211612244
199,0.300483098,0.156650035,0.0903511,0.146359478
200,-0.021422551,0.116826909,-0.149082266,-0.390215118
201,0.059542712,0.085563939,0.149863775,0.142939834
202,-0.039767475,0.250882949,0.016586501,-0.107916891
203,0.037810958,0.474660319,0.330143848,0.087640018
204,0.070170211,-0.109053708,0.165352719,-0.188721708
205,0.202465697,0.19622567,-0.13171882,0.252874985
206,0.107183535,0.478215829,0.146459944,0.135345235
207,0.19134074,0.394446686,0.047153922,0.026006349
208,0.031068566,0.123082874,-0.031696224,-0.001178984
209,0.028523198,0.062934846,-0.282812216,-0.380771032
210,0.149302555,0.363377105,0.063797521,0.163683224
211,0.028278653,-0.414742765,-0.238978852,-0.209824894
212,0.161413471,0.253892837,0.398462034,-0.095098245
213,0.028774242,0.259970422,0.08805145,-0.152432485
214,-0.056505888,-0.584782866,-0.145636084,-0.3062447
215,-0.056355987,0.045963947,0.152962219,0.090251825
216,0.036895246,0.428068599,-0.018531111,-0.057842293
217,0.092593883,0.40473113,-0.093710316,0.226497138
218,0.189757483,0.582376151,0.007988995,0.054072942
219,0.068190723,0.316746263,0.250782227,0.254839576
220,0.068859966,0.05328186,0.018949566,0.042098371
221,-0.060838987,-0.115204585,0.020183542,0.23448002
222,0.179287182,0.577689818,0.338593261,-0.06649046
223,0.200578368,-0.177903073,-0.271777608,-0.269808252
224,0.129903386,0.181564176,0.081285044,-0.145622937
225,-0.157806598,0.056262799,-0.251883693,0.012314288
226,-0.056382627,-0.323483636,-0.231107533,0.292950718
227,0.007496869,0.074463563,-0.251900812,0.028650901
228,0.088548492,0.457895152,0.197063978,-0.081388804
229,0.077677892,0.316568124,-0.102724661,-0.516170027
230,0.101940792,-0.042786446,-0.336815551,0.092544596
231,0.139356648,-0.075063338,0.008987732,-0.088078431
232,0.066431318,0.066894485,-0.082272689,-0.114313505
233,-0.072364582,-0.365697952,0.133309575,0.212226961
234,-0.001518971,0.007714698,-0.022023202,-0.330587383
235,-0.040661735,0.149878628,0.025233348,-0.038692751
236,-0.071803536,0.445056419,0.113515719,0.100707184
237,0.025012499,0.428530291,0.253502834,0.341403808
238,0.166290603,0.174348248,-0.085408504,0.073273246
239,0.079216371,0.190764113,0.259857781,-0.35250288
240,0.023209231,-0.043699389,-0.204273239,0.367260319
241,0.029373103,0.327835753,0.145988074,-0.159464989
242,0.141390172,0.35788529,-0.225523391,0.015956874
243,0.157811384,0.106814894,-0.072502484,-0.37523404
244,0.170007373,0.255354937,0.080843205,0.282954984
245,-0.074906839,-0.170469771,0.116457162,-0.047442206
246,0.067292282,-0.18814757,0.504387423,-0.065435593
247,-0.010441954,-0.157273394,-0.024483981,-0.05571598
248,0.036142814,0.110114949,-0.216761457,-0.004063244
249,-0.039235271,-0.146996457,-0.235907594,-0.370965381
250,0.057417223,0.236129499,0.004783454,-0.165099795
251,-0.007629686,0.16224731,0.066206149,0.235516631
252,-0.136118989,-0.785713049,-0.195818549,-0.075149426
253,0.112233764,-0.046065432,0.051696493,0.111345216
254,0.050763179,0.467257482,0.183016281,0.108220915
255,0.056547905,-0.156093807,-0.037370484,0.074246662
256,-0.011214524,0.30302834,-0.137779872,-0.399731307
257,0.029157096,-0.473031045,-0.021496191,0.165040827
258,-0.112065959,-0.153749943,-0.096275533,-0.320479749
259,0.019904829,-0.077310933,0.060378923,0.351355033
260,-0.015438006,-0.275884735,-0.238461234,-0.236808195
261,0.109396189,0.582895345,0.251511338,-0.156838755
262,0.113842962,0.642164996,0.166930437,0.281992658
263,0.237007035,0.395997122,0.199204727,-0.006595576
264,0.234518041,0.026639598,-0.043028516,0.354718005
265,-0.007834959,0.113829998,0.105123135,-0.071870512
266,0.147542696,0.302408865,-0.189069023,-0.064443479
267,-0.094780949,-0.545253763,-0.223609939,-0.26969854
268,0.034750556,-0.007169317,-0.093932352,-0.259178366
269,-0.040424616,0.434825406,0.126467443,0.152111268
270,-0.064892867,-0.00890942,0.02708191,-0.030844179
271,-0.00784655,-0.470725006,0.077059173,0.111347262
272,0.062053463,0.524668779,0.208987704,-0.149185504
273,-0.092523191,0.168166669,-0.035368954,-0.357624537
274,-0.124583503,-0.296654521,0.05907734,0.030473711
275,0.10242181,0.188477942,-0.040751579,0.41557254
276,0.040410269,-0.447677416,0.083362648,-0.172450703
277,0.127513568,0.079160194,-0.158918491,-0.409408021
278,0.141306703,0.089002217,0.171331235,-0.084397534
279,-0.090557561,-0.326363464,0.090684739,-0.114887658
280,0.008474596,-0.208023549,0.102817232,-0.004652651
281,-0.130648995,-0.328078789,0.078163089,0.176041598
282,-0.026956935,-0.360976658,-0.171103483,-0.185341634
283,0.003737725,-0.548558011,-0.284834507,-0.091214977
284,0.012172429,-0.192232187,0.001682226,-0.201783665
285,0.04338318,0.386422148,0.100533314,-0.023275525
286,0.156115601,0.189768382,-0.088271643,0.21220374
287,0.078254107,0.171134778,0.100119352,-0.063498435
288,0.149725455,0.389271671,-0.034228812,0.194900603
289,-0.042067536,-0.357909693,-0.083146859,-0.3590101
290,0.100654135,0.180525736,0.273210572,0.282193193
291,0.019703197,-0.233961926,0.348526062,0.41826946
292,-0.13663953,-0.059296457,0.01919324,-0.359775133
293,0.169156702,0.631716272,0.126250636,-0.038760654
294,0.088627282,0.438820653,-0.030990737,0.064498057
295,0.146142271,0.665738149,0.092596882,-0.126994345
296,-0.137021492,-0.421006217,0.057874161,-0.179047759
297,0.19460612,0.372757794,-0.127344298,0.003720496
298,0.125977968,-0.057859764,0.051867068,-0.124543262
299,0.04429509,0.278504571,0.172819552,0.206669836
300,0.051308869,-0.098007628,0.080780789,0.014402651
301,0.082107471,0.064740537,-0.048426166,-0.225699666
302,0.129720352,0.241198838,-0.117725901,0.491760329
303,0.056580559,0.038629863,0.093394245,0.1324008
304,0.124861568,0.239986964,-0.199167577,0.199203037
305,-0.090819242,-0.071463885,0.030114755,-0.025762845
306,0.011570297,-0.281875594,-0.300398224,-0.35535845
307,0.09859357,0.130175976,-0.146193138,-0.177910555
308,0.023857095,0.029952765,-0.052726513,-0.012824063
309,0.112428114,0.24673769,0.08280546,0.124776304
310,0.138152062,0.164958102,-0.112459873,0.410661225
311,0.052197381,0.662965301,0.207574105,0.267890509
312,-0.14056118,-0.940371836,-0.164041733,-0.095434486
313,0.02730935,-0.057219591,0.044047872,0.032431779
314,0.192107775,0.215987865,-0.005687379,-0.203739235
315,0.109281639,-0.118738033,0.220355613,-0.216743349
316,0.066694266,0.303640101,0.232829985,0.393677359
317,0.000932273,-0.209907355,-0.005884934,-0.15683953
318,-0.000727753,0.061382574,-0.381218847,0.060834244
319,0.191321622,0.069878667,0.248580527,0.081126964
320,-0.127107097,-0.151480739,0.197614605,0.017250057
321,0.047213878,0.527376553,0.092134904,-0.195535883
322,-0.101097283,-0.240725916,-0.128642786,-0.170384073
323,0.149524085,0.600832658,0.040025994,0.192640044
324,0.130172423,0.147770385,-0.185426114,0.14922957
325,-0.023371291,0.448678891,0.324490293,0.29341608
326,0.118356674,0.021253761,0.071109373,0.294342755
327,0.084685241,-0.005886003,0.168475617,-0.00559528
328,0.04541351,0.133133577,0.017182324,-0.309193043
329,0.108836245,0.073475948,0.324514179,0.288419421
330,0.03817428,0.427679538,0.502441804,0.539433247
331,0.125563157,0.53394085,-0.312189215,-0.245823798
332,0.180307845,0.019343637,-0.145974097,-0.061506339
333,0.067470323,0.050574768,-0.000944093,-0.007783038
334,0.039485241,0.218930732,-0.211391842,-0.742201971
335,0.226595854,0.752960937,0.021760564,0.244006604
336,-0.016125973,0.009805046,0.135485031,0.252163038
337,-0.094057181,-0.245498083,0.010265022,-0.279017306
338,-0.098089657,-0.100247693,0.00595263,0.311350516
339,0.102957602,0.386796254,0.130056552,0.23250362
340,0.05292398,0.313168507,0.023639776,0.297510169
341,0.022904757,-0.030843649,-0.297411694,-0.24838816
342,0.048930829,0.278178016,-0.018877483,-0.153111259
343,0.017348385,-0.444293195,-0.391896343,0.222413364
344,-0.101258552,-0.260804504,-0.415188693,0.061320162
345,-0.028746171,-0.236277968,-0.00571037,0.225705301
346,0.135897325,-0.104351696,-0.279031925,-0.092588453
347,0.066893515,0.292929107,0.088383431,0.420854138
348,0.110746402,0.136781695,-0.100066225,0.146415878
349,0.144376401,-0.006944276,-0.206208326,-0.274924359
350,0.031604789,0.006655616,0.080645724,0.038265411
351,-0.036189798,0.255200221,0.09157933,-0.261589135
352,-0.021160034,-0.148329778,-0.336991401,0.272171368
353,0.037163608,0.215723185,-0.022726312,-0.117500079
354,0.063468497,0.131824843,-0.219496607,-0.163155119
355,0.053666304,0.227979296,0.070177887,-0.027240954
356,0.072568901,0.312441412,0.029662877,-0.131871442
357,0.092639007,-0.219377753,-0.125663513,-0.264153594
358,-0.049561526,0.074339991,0.13562603,-0.066948795
359,0.221400479,0.129528281,-0.065839197,-0.235206836
360,0.14593813,0.19506659,-0.12606398,0.062059648
361,0.288185435,0.508847649,0.253497456,0.630480381
362,-0.128042729,-0.437408874,0.074321581,0.043012608
363,-0.022363208,-0.028326036,-0.144071584,-0.141819913
364,0.126862831,0.332420213,0.089425346,0.155649214
365,0.063216955,0.082028639,0.091028103,-0.005032994
366,0.119957599,0.083466845,-0.311704808,-0.149576204
367,-0.139176375,-0.242336974,0.167003931,-0.120784126
368,0.076143582,-0.075590878,-0.335685911,-0.279468139
369,0.133111079,0.38096436,-0.038295668,0.286802098
370,0.044369965,0.130616556,0.255458154,0.328779242
371,0.13070528,0.034299206,0.230595246,0.308651498
372,0.102546037,0.093163698,0.154703115,0.135939645
373,0.054028353,-0.105748155,-0.076274589,-0.038195896
374,0.038885451,0.40745293,-0.108303627,0.276116851
375,-0.042466125,-0.187968628,0.046225931,0.039463591
376,0.052863933,0.32042742,-0.184427369,-0.545857199
377,0.096582175,-0.18250824,0.06527223,0.198294417
378,0.052068328,0.1111914,0.017703311,0.102080874
379,-0.04886982,-0.014699093,-0.307555429,-0.163572668
380,-0.045272915,-0.203297265,0.093636914,-0.027501928
381,-0.09412646,-0.772282787,-0.207441075,-0.368462465
382,0.066580916,0.323632525,-0.003572318,-0.141615526
383,-0.005108262,0.046718029,-0.058014197,0.455151116
384,-0.046515289,0.395276565,-0.144566405,0.07973713
385,0.090544308,0.375076465,-0.244176434,0.072651294
386,0.013288372,-0.241346551,-0.351425489,-0.516467133
387,-0.006466154,-0.013321871,0.164781613,0.167826851
388,-0.096557048,-0.158163735,0.53095886,0.224575592
389,-0.086409361,0.200612004,-0.097277899,0.161763251
390,0.161315031,0.900514718,0.106698429,-0.037155904
391,-0.156557151,-0.543410564,-0.196571387,-0.057801563
392,-0.018744037,-0.127190853,-0.02354506,-0.241100047
393,0.280152328,0.490726362,0.500523755,0.077771249
394,0.070339438,-0.168850607,-0.184869869,-0.061138594
395,0.076234172,-0.228904149,-0.032136441,0.031677772
396,-0.014198849,-0.312126462,-0.096155377,-0.087554036
397,0.13653218,0.352528184,0.282833793,-0.336342208
398,-0.003166034,-0.08465561,-0.139101223,0.007939418
399,-0.01407964,0.031295625,-0.053970458,-0.418762978
400,0.04537332,-0.035218108,0.082520199,-0.032737502
401,0.141226238,0.147556371,0.224361554,0.008555695
402,0.198875727,0.527865187,0.283245311,0.116576467
403,-0.054693815,0.219408185,0.118392232,0.11726276
404,0.029645805,-0.064516454,-0.048685481,-0.349707246
405,-0.056596632,0.02188404,-0.143955465,0.188797647
406,0.125400375,0.32776194,0.011418651,-0.548362422
407,-0.040812796,0.007435563,-0.112380851,0.195998537
408,-0.158308635,-0.879569533,-0.196216928,-0.206981073
409,0.232717059,0.148515333,-0.091991349,0.214027767
410,0.176050934,0.266295939,-0.000582577,0.024521344
411,-0.019327644,0.04311761,0.047210058,-0.188208784
412,0.107261054,0.411752486,-0.143667668,-0.58318813
413,-0.006005586,-0.551665648,-0.197127334,0.263768103
414,0.210591001,0.114909357,-0.032803823,-0.024944192
415,-0.051017087,0.018797324,0.145128778,0.269509373
416,0.05313286,0.068260643,-0.252236754,-0.089263346
417,0.159324251,-0.224490024,-0.121454142,0.126592611
418,0.22154933,0.336754841,0.10695475,0.398584021
419,-0.024058114,0.060902238,0.075694061,0.059601277
420,0.035443379,-0.161113575,0.062644528,0.281521844
421,-0.171706334,-0.635447487,-0.47613369,-0.026006073
422,0.110681514,0.497503142,0.035723705,0.166787285
423,0.104629245,0.064041142,-0.168295497,-0.100571394
424,0.111597109,0.209432093,-0.149698558,-0.106523554
425,-0.012282183,-0.299886503,-0.427677877,-0.419860664
426,-0.019723488,0.112570703,0.198545125,0.228261357
427,0.147750483,0.246201221,-0.048784411,0.296106737
428,0.004634779,-0.150949168,-0.058597161,0.063049659
429,0.043750927,-0.029670087,0.232595956,0.206050473
430,0.115717145,0.095523457,0.303461295,0.020098787
431,0.019672128,-0.009373462,0.202700927,0.163233614
432,-0.025998858,-0.033938639,-0.040451577,-0.279183596
433,0.01601296,-0.362710486,-0.303945193,0.049248259
434,0.326040003,0.794548608,0.220096864,0.396577399
435,0.080663113,0.271038928,-0.028127815,0.361399469
436,0.018183725,0.016348845,-0.149455557,-0.153274391
437,0.134860625,0.164130353,-0.204131562,-0.035753851
438,0.133890393,-0.033168046,-0.16374257,0.203285767
439,-0.011416823,-0.116287812,-0.097610753,-0.309570935
440,0.112424203,0.031349539,0.182650118,0.117664679
441,-0.014301414,0.377954615,0.083862769,-0.144066986
442,0.256425167,0.392474986,-0.156588381,0.322085927
443,0.171123249,-0.102545359,-0.182578464,-0.272770425
444,-0.013395951,0.197607029,0.105204934,0.056495559
445,0.044831155,-0.224536111,0.058516109,0.294144086
446,-0.069573086,0.161050565,0.170387382,-0.289108724
447,0.084520758,-0.046357533,-0.094818063,-0.251937846
448,0.143851322,0.511506852,0.302051945,0.389277144
449,0.048594185,0.281399644,0.120830609,0.388725373
450,-0.08601398,-0.507671322,-0.228452603,-0.093000459
451,0.19665045,0.415879223,0.216442864,-0.026107537
452,-0.093713247,-0.068490954,0.047484083,-0.171564241
453,0.163217333,0.61953672,0.2448365,-0.099335224
454,0.050272707,0.406806205,0.117476964,0.293792759
455,0.019851251,0.512292418,-0.082295189,0.002297348
456,0.012019231,0.124121378,0.377260178,-0.32186765
457,-0.213990561,-0.793382557,-0.155105584,-0.114559085
458,-0.01759857,0.284444998,0.175553523,-0.186423041
459,-0.073479908,0.241851877,0.131704316,-0.050899633
460,0.194916617,0.792484766,0.258523422,-0.334455856
461,-0.019496197,-0.244789208,-0.260993465,-0.021426858
462,0.097316927,0.320840574,-0.039896145,0.02785131
463,0.08661737,-0.054309985,-0.159242341,-0.391158993
464,0.082819234,-0.438216042,-0.404723418,-0.17835044
465,-0.020262139,-0.283338682,-0.224748951,-0.397240822
466,-0.003637696,0.111234437,-0.129712392,0.024603099
467,0.0231942,0.393905768,0.525564283,-0.194320325
468,0.037867453,0.352946437,0.320908676,0.239417185
469,-0.120830823,-0.259317292,0.284888066,0.422029835
470,0.316838607,0.939563595,0.335860599,0.197006554
471,0.133923207,0.149912683,0.136910639,-0.343800201
472,0.154574425,0.531620868,0.098016878,0.047514022
473,0.276465226,0.609145277,0.096637197,-0.233138101
474,0.007356456,-0.046086158,-0.076625686,0.066869713
475,-0.016382025,-0.031926689,-0.159502144,-0.202875712
476,0.14037114,0.64597076,0.071571223,0.058116706
477,0.130750279,-0.105953017,-0.025788751,-0.362822362
478,-0.033017603,-0.268946092,-0.134035406,-0.132654803
479,0.17940388,0.152427473,0.131401284,0.030926167
480,0.009912343,0.616204012,0.184820195,0.377272959
481,0.093214706,0.111897497,0.345682907,-0.179706798
482,0.121673253,0.067580899,-0.123179815,-0.378936609
483,0.120756745,0.271756985,-0.032821842,-0.317624803
484,0.137772349,-0.084375234,0.063645012,0.045324684
485,0.00609433,-0.134722154,0.073586504,-0.043114243
486,-0.030775433,0.048747706,0.012971476,-0.134258115
487,0.062613479,-0.067301095,-0.030608562,0.29779027
488,0.07057691,-0.303629708,-0.374672773,-0.091676298
489,0.055213414,0.330828926,0.321416644,0.162319882
490,0.11211104,0.167987243,0.282561522,-0.275430466
491,0.042708303,0.090438007,-0.048778084,0.300742531
492,0.009793795,-0.255116857,-0.096444042,0.037117362
493,0.010891664,0.523139144,0.34878679,0.350090981
494,0.05349352,0.072307764,0.019873272,-0.07674952
495,0.01314087,-0.203927759,0.056973461,0.086877817
496,0.09322418,0.194388944,-0.085647248,0.082459139
497,-0.042419084,-0.021688831,0.12818938,0.43378327
498,-0.074456303,-0.1507861,-0.095047882,-0.005084869
499,-0.142139114,-0.683941625,-0.290472333,-0.042274707
500,0.17830472,0.264039347,-0.101120911,-0.123039472
501,-0.053207503,0.359744913,0.370446862,0.119895481
502,-0.124016884,0.009748489,0.395912774,-0.171610857
503,0.055681346,0.295562828,0.031177164,-0.1752473
504,-0.016222355,-0.066718241,0.045622342,-0.191534224
505,-0.082049192,0.269040161,0.234735307,0.300839231
506,0.18909268,0.489129916,0.166008138,0.171050036
